,DateTime,Deviation,DirectionNum,DirectionText,Lat,Lon,RouteID,TripEndTime,TripHeadsign,TripID,TripStartTime,VehicleID
0,2015-03-10T05:05:50,3.0,12.0,SOUTH,38.910027,-77.021935,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:07:56,2.0,10.0,NORTH,38.960846,-77.027939,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:08:01,1.0,12.0,SOUTH,38.931026,-77.023544,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
3,2015-03-10T05:07:59,4.0,12.0,SOUTH,38.979366,-77.026527,70.0,2015-03-10T05:41:00,ARCHIVES,6933212.0,2015-03-10T05:00:00,5431.0
4,2015-03-10T05:08:09,1.0,10.0,NORTH,38.900757,-77.021851,70.0,2015-03-10T05:45:00,SILVER SPRING,6933110.0,2015-03-10T05:02:00,5443.0
0,2015-03-10T05:09:21,2.0,12.0,SOUTH,38.900017,-77.022064,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:09:15,2.0,10.0,NORTH,38.963821,-77.027756,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:09:05,0.0,12.0,SOUTH,38.929173,-77.0233,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
3,2015-03-10T05:09:16,5.0,12.0,SOUTH,38.976929,-77.026596,70.0,2015-03-10T05:41:00,ARCHIVES,6933212.0,2015-03-10T05:00:00,5431.0
4,2015-03-10T05:09:13,1.0,10.0,NORTH,38.903343,-77.021873,70.0,2015-03-10T05:45:00,SILVER SPRING,6933110.0,2015-03-10T05:02:00,5443.0
5,2015-03-10T05:09:01,15.0,12.0,SOUTH,38.994427,-77.028656,70.0,2015-03-10T05:53:00,ARCHIVES,6933213.0,2015-03-10T05:12:00,5438.0
0,2015-03-10T05:09:21,2.0,12.0,SOUTH,38.900017,-77.022064,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:09:15,2.0,10.0,NORTH,38.963821,-77.027756,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:09:05,0.0,12.0,SOUTH,38.929173,-77.0233,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
3,2015-03-10T05:09:16,5.0,12.0,SOUTH,38.976929,-77.026596,70.0,2015-03-10T05:41:00,ARCHIVES,6933212.0,2015-03-10T05:00:00,5431.0
4,2015-03-10T05:09:13,1.0,10.0,NORTH,38.903343,-77.021873,70.0,2015-03-10T05:45:00,SILVER SPRING,6933110.0,2015-03-10T05:02:00,5443.0
5,2015-03-10T05:09:01,15.0,12.0,SOUTH,38.994427,-77.028656,70.0,2015-03-10T05:53:00,ARCHIVES,6933213.0,2015-03-10T05:12:00,5438.0
0,2015-03-10T05:09:47,3.0,12.0,SOUTH,38.899025,-77.021919,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:09:51,2.0,10.0,NORTH,38.964973,-77.027641,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:09:24,1.0,12.0,SOUTH,38.928905,-77.023232,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
3,2015-03-10T05:09:48,5.0,12.0,SOUTH,38.975929,-77.026711,70.0,2015-03-10T05:41:00,ARCHIVES,6933212.0,2015-03-10T05:00:00,5431.0
4,2015-03-10T05:09:52,1.0,10.0,NORTH,38.904293,-77.021896,70.0,2015-03-10T05:45:00,SILVER SPRING,6933110.0,2015-03-10T05:02:00,5443.0
5,2015-03-10T05:09:33,-2.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-10T05:53:00,ARCHIVES,6933213.0,2015-03-10T05:12:00,5438.0
0,2015-03-10T05:10:41,3.0,12.0,SOUTH,38.897385,-77.02198,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:10:29,2.0,10.0,NORTH,38.967133,-77.027405,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:10:52,1.0,12.0,SOUTH,38.926445,-77.02285,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
3,2015-03-10T05:10:39,5.0,12.0,SOUTH,38.972889,-77.027,70.0,2015-03-10T05:41:00,ARCHIVES,6933212.0,2015-03-10T05:00:00,5431.0
4,2015-03-10T05:10:55,2.0,10.0,NORTH,38.905598,-77.021889,70.0,2015-03-10T05:45:00,SILVER SPRING,6933110.0,2015-03-10T05:02:00,5443.0
5,2015-03-10T05:10:36,-1.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-10T05:53:00,ARCHIVES,6933213.0,2015-03-10T05:12:00,5438.0
0,2015-03-10T05:10:41,3.0,12.0,SOUTH,38.897385,-77.02198,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:10:29,2.0,10.0,NORTH,38.967133,-77.027405,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:10:52,1.0,12.0,SOUTH,38.926445,-77.02285,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
3,2015-03-10T05:10:39,5.0,12.0,SOUTH,38.972889,-77.027,70.0,2015-03-10T05:41:00,ARCHIVES,6933212.0,2015-03-10T05:00:00,5431.0
4,2015-03-10T05:10:55,2.0,10.0,NORTH,38.905598,-77.021889,70.0,2015-03-10T05:45:00,SILVER SPRING,6933110.0,2015-03-10T05:02:00,5443.0
5,2015-03-10T05:10:36,-1.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-10T05:53:00,ARCHIVES,6933213.0,2015-03-10T05:12:00,5438.0
0,2015-03-10T05:11:13,2.0,12.0,SOUTH,38.896362,-77.022018,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:11:18,3.0,10.0,NORTH,38.967396,-77.02739,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:10:52,1.0,12.0,SOUTH,38.926445,-77.02285,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
3,2015-03-10T05:11:13,4.0,12.0,SOUTH,38.970104,-77.027321,70.0,2015-03-10T05:41:00,ARCHIVES,6933212.0,2015-03-10T05:00:00,5431.0
4,2015-03-10T05:10:57,2.0,10.0,NORTH,38.905701,-77.021896,70.0,2015-03-10T05:45:00,SILVER SPRING,6933110.0,2015-03-10T05:02:00,5443.0
5,2015-03-10T05:11:07,-1.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-10T05:53:00,ARCHIVES,6933213.0,2015-03-10T05:12:00,5438.0
0,2015-03-10T05:11:22,3.0,12.0,SOUTH,38.89587,-77.02195,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:11:46,2.0,10.0,NORTH,38.970528,-77.027145,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:11:23,1.0,12.0,SOUTH,38.923817,-77.022491,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
3,2015-03-10T05:11:33,5.0,12.0,SOUTH,38.969624,-77.027344,70.0,2015-03-10T05:41:00,ARCHIVES,6933212.0,2015-03-10T05:00:00,5431.0
4,2015-03-10T05:11:34,1.0,10.0,NORTH,38.909794,-77.021881,70.0,2015-03-10T05:45:00,SILVER SPRING,6933110.0,2015-03-10T05:02:00,5443.0
5,2015-03-10T05:11:40,0.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-10T05:53:00,ARCHIVES,6933213.0,2015-03-10T05:12:00,5438.0
0,2015-03-10T05:11:53,3.0,12.0,SOUTH,38.894211,-77.021965,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:12:18,2.0,10.0,NORTH,38.973831,-77.026817,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:12:05,0.0,12.0,SOUTH,38.920918,-77.022057,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
3,2015-03-10T05:12:08,4.0,12.0,SOUTH,38.967731,-77.027504,70.0,2015-03-10T05:41:00,ARCHIVES,6933212.0,2015-03-10T05:00:00,5431.0
4,2015-03-10T05:12:07,1.0,10.0,NORTH,38.912102,-77.021851,70.0,2015-03-10T05:45:00,SILVER SPRING,6933110.0,2015-03-10T05:02:00,5443.0
5,2015-03-10T05:12:11,0.0,12.0,SOUTH,38.994511,-77.028412,70.0,2015-03-10T05:53:00,ARCHIVES,6933213.0,2015-03-10T05:12:00,5438.0
0,2015-03-10T05:11:53,3.0,12.0,SOUTH,38.894211,-77.021965,70.0,2015-03-10T05:12:00,ARCHIVES,6933210.0,2015-03-10T04:36:00,5447.0
1,2015-03-10T05:12:18,2.0,10.0,NORTH,38.973831,-77.026817,70.0,2015-03-10T05:17:00,SILVER SPRING,6933109.0,2015-03-10T04:42:00,5448.0
2,2015-03-10T05:12:05,0.0,12.0,SOUTH,38.920918,-77.022057,70.0,2015-03-10T05:27:00,ARCHIVES,6933211.0,2015-03-10T04:46:00,5432.0
